Date Score

16-08-19 64

16-08-22 5210

16-08-23 235

16-08-24 2015

16-08-26 115

16-08-29 196

16-08-30 1144

16-08-31 117

16-09-01 67

16-09-02 9

16-09-05 1105

16-09-06 4235

16-09-07 11100

16-09-09 166

16-09-12 261

16-09-13 1762

16-09-14 31605

16-09-15 42

16-09-16 155

16-09-19 149

16-09-20 12787

16-09-21 51

16-09-22 2387

16-09-27 378

16-09-28 4734

16-09-29 2932

16-09-30 1820

16-10-04 330

16-10-05 354

16-10-06 38

16-10-07 61

17-09-08 280

17-09-11 325

17-09-12 1369

17-09-13 27279

17-09-14 60450

17-09-15 5077

17-09-18 11387

17-09-20 15093

17-09-22 91

17-09-25 5091

17-09-26 5081

17-09-27 6687

17-09-28 114

